ERROR: config not specified
IPv6 support
usage: ssserver [OPTION]...
A fast tunnel proxy that helps you bypass firewalls.

You can supply configurations via either config file or command line arguments.

Proxy options:
  -c CONFIG              path to config file
  -s SERVER_ADDR         server address, default: 0.0.0.0
  -p SERVER_PORT         server port, default: 8388
  -k PASSWORD            password
  -m METHOD              encryption method, default: aes-256-cfb
  -o OBFS                obfsplugin, default: http_simple
  -t TIMEOUT             timeout in seconds, default: 300
  --fast-open            use TCP_FASTOPEN, requires Linux 3.7+
  --workers WORKERS      number of workers, available on Unix/Linux
  --forbidden-ip IPLIST  comma seperated IP list forbidden to connect
  --manager-address ADDR optional server manager UDP address, see wiki

General options:
  -h, --help             show this help message and exit
  -d start/stop/restart  daemon mode
  --pid-file PID_FILE    pid file for daemon mode
  --log-file LOG_FILE    log file for daemon mode
  --user USER            username to run as
  -v, -vv                verbose mode
  -q, -qq                quiet mode, only show warnings/errors
2020-08-07 15:55:56 ERROR    [Errno 104] Connection reset by peer
2020-08-07 15:55:56 DEBUG    destroy: nexus.officeapps.live.com:443
2020-08-07 15:55:56 DEBUG    destroying remote
2020-08-07 15:55:56 DEBUG    destroying local
2020-08-07 15:55:56 DEBUG    server port 18388 connections = 8
2020-08-07 15:56:18 DEBUG    got remote error
2020-08-07 15:56:18 ERROR    [Errno 104] Connection reset by peer
2020-08-07 15:56:18 DEBUG    destroy: nexus.officeapps.live.com:443
2020-08-07 15:56:18 DEBUG    destroying remote
2020-08-07 15:56:18 DEBUG    destroying local
2020-08-07 15:56:18 DEBUG    server port 18388 connections = 7
2020-08-07 15:56:58 DEBUG    accept
2020-08-07 15:56:58 DEBUG    server port 18388 connections = 8
2020-08-07 15:56:58 INFO     TCP connecting 1.1.1.3:80 from ::ffff:111.40.35.2:29981
2020-08-07 15:56:58 DEBUG    destroy: 1.1.1.3:80
2020-08-07 15:56:58 DEBUG    destroying remote
2020-08-07 15:56:58 DEBUG    destroying local
2020-08-07 15:56:58 DEBUG    server port 18388 connections = 7
2020-08-07 15:56:58 DEBUG    accept
2020-08-07 15:56:58 DEBUG    server port 18388 connections = 8
2020-08-07 15:56:58 INFO     TCP connecting one.one.one.one:443 from ::ffff:111.40.35.2:30432
2020-08-07 15:56:58 DEBUG    resolving b'one.one.one.one' with type 1 using server 183.60.83.19
2020-08-07 15:56:58 DEBUG    resolving b'one.one.one.one' with type 1 using server 183.60.82.98
